id,x_mm,y_mm,z_mm,aim_x_mm,aim_y_mm,aim_z_mm,mount_id,mount_type,mount_offset_mm,mount_face,lens,recording,portrait_roll,distance_to_aim_m,h_fov_deg,v_fov_deg,px_per_cm,primary_bins,total_bins_seen,contribution_score,contribution_band,lean_removal_candidate,suggested_action,rationale
C11,-661.6,3752.118,1550,0,0,1100,stand_a_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C12,-1303.097,3580.229,2450,0,0,1100,stand_a_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C13,-1905,3299.557,1550,0,0,1100,stand_a_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C14,-2449.021,2918.629,2450,0,0,1100,stand_b_head_01,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C15,-2918.629,2449.021,1550,0,0,1100,stand_b_head_02,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C16,-3299.557,1905,2450,0,0,1100,stand_b_head_03,stand,0,socket,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C17,-3580.229,1303.097,1550,0,0,1100,virtual_mount_17,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C18,-3752.118,661.6,2450,0,0,1100,virtual_mount_18,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C19,-3810,0,1550,0,0,1100,virtual_mount_19,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C20,-3752.118,-661.6,2450,0,0,1100,virtual_mount_20,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C21,-3580.229,-1303.097,1550,0,0,1100,virtual_mount_21,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C22,-3299.557,-1905,2450,0,0,1100,virtual_mount_22,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,4.042,33.092,58.77,14.39,2,24,8.98,high,false,Keep,Contributes useful parallax or view overlap.
C23,-2918.629,-2449.021,1550,0,0,1100,virtual_mount_23,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C24,-2449.021,-2918.629,2450,0,0,1100,virtual_mount_24,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C25,-1905,-3299.557,1550,0,0,1100,virtual_mount_25,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C26,-1303.097,-3580.229,2450,0,0,1100,virtual_mount_26,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C27,-661.6,-3752.118,1550,0,0,1100,virtual_mount_27,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C28,-0,-3810,2450,0,0,1100,virtual_mount_28,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C29,661.6,-3752.118,1550,0,0,1100,virtual_mount_29,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C30,1303.097,-3580.229,2450,0,0,1100,virtual_mount_30,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C31,1905,-3299.557,1550,0,0,1100,virtual_mount_31,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C32,2449.021,-2918.629,2450,0,0,1100,virtual_mount_32,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,1,24,6.98,high,false,Keep,Contributes useful parallax or view overlap.
C33,2918.629,-2449.021,1550,0,0,1100,virtual_mount_33,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,3.836,33.092,58.77,15.161,0,24,5.58,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C34,3299.557,-1905,2450,0,0,1100,virtual_mount_34,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,4.042,58.77,33.092,13.496,2,24,8.68,high,false,Keep,Contributes useful parallax or view overlap.
C35,3580.229,-1303.097,1550,0,0,1100,virtual_mount_35,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,false,3.836,58.77,33.092,14.219,0,24,5.28,high,false,Candidate to re-aim after weak-zone review,It sees the performer but is rarely the primary view.
C36,3752.118,-661.6,2450,0,0,1100,virtual_mount_36,unassigned,0,none,Rokinon DSX24-RF 24mm T1.5,6K 16:9 60fps HQ,true,4.042,33.092,58.77,14.39,1,24,7.28,high,false,Keep,Contributes useful parallax or view overlap.
